253,"Hope, Laura Lee"
254,"Burnett, Frances Hodgson"
255,"Brooke, L. Leslie (Leonard Leslie)"
256,"Hammerton, John Alexander, Sir"
257,"Wace"
258,"White, William Patterson"
259,"Copplestone, Bennet"
260,"Freeman, R. Austin (Richard Austin)"
261,"Lord, John"
262,"Atticus"
263,"Alcott, William A. (William Andrus)"
264,"Smith, C. Alphonso (Charles Alphonso)"
265,"Root, Elihu"
266,"Seccombe, Thomas"
267,"Summerhayes, Martha"
268,"Powers, Leland Todd"
269,"Green, Alice Stopford"
270,"Trask, Katrina"
271,"Shaw, Bernard"
272,"Austen, Jane"
273,"McGaffey, Kenneth"
274,"Dell, Ethel M. (Ethel May)"
275,"Carlyle, Thomas"
276,"Clinton, Bill"
277,"Bridges, Victor"
278,"Smith, R. Cadwallader"
279,"Cotter, Frank J."
280,"Jackson, Helen Hunt"
281,"Adams, E. E. (Ezra Eastman)"
282,"Hay, John"
283,"American Tract Society"
284,"W. M."
285,"Crawford, F. Marion (Francis Marion)"
286,"Euripides"
287,"Calkin, John Baptiste"
288,"Conrad, Joseph"
289,"Pierpont, James"
290,"Browne, Theo. Stephenson"
291,"Stevenson, Augusta"
292,"Clough, Ethlyn T."
293,"Soissons, Count de"
294,"Child, Lydia Maria"
295,"Hazlitt, William Carew"
296,"Wodehouse, P. G. (Pelham Grenville)"
297,"Yonge, Charles Duke"
298,"Orczy, Emmuska Orczy, Baroness"
299,"Cooke, John Esten"
300,"Owen, Will"
301,"Jacobs, W. W. (William Wymark)"
302,"Hume, David"
303,"Langworthy, John Luther"
304,"Prévost, Marcel"
305,"Barnum, Vance"
306,"Ferri, Enrico"
307,"Bradley, Alice"
308,"Beach, Charles Amory"
309,"Grattan, Thomas Colley"
310,"Boothby, Guy"
311,"Gilfillan, George"
312,"Halsey, Francis W. (Francis Whiting)"
313,"International Committee of the Red Cross"
314,"Montagu, Mary Wortley, Lady"
315,"Trumbull, H. Clay (Henry Clay)"
316,"Grayson, David"
317,"Knowles, Frederic Lawrence"
318,"Cibber, Theophilus"
319,"Snell, Roy J. (Roy Judson)"
320,"Burroughs, Edgar Rice"
321,"Kerr, Robert"
322,"Spenser, Edmund"
323,"Beynon, William George Laurence, Sir"
324,"Wright, Blanche Fisher"
325,"Smith, Arthur Cosslett"
326,"Elgin, James Bruce, Earl of"
327,"Henderson, Hubert Douglas, Sir"
328,"Adams, Brooks"
329,"Locke, John"
330,"Benwell, John"
331,"Fletcher, John"
332,"Stribling, T. S. (Thomas Sigismund)"
333,"Glaspell, Susan"
334,"Blackwood, Algernon"
335,"Keeling, Annie E."
336,"Wilkinson, Spenser"
337,"Havergal, Frances Ridley"
338,"Halleck, Reuben Post"
339,"Daniel, Florence"
340,"Tasso, Torquato"
341,"Yule, Henry, Sir"
342,"Booth, Mary L. (Mary Louise)"
343,"Heffner, George H."
344,"Kleiser, Grenville"
345,"Cram, Ralph Adams"
346,"Mee, Arthur"
347,"Clark, Badger"
348,"Airy, George Biddell"
349,"De Quincey, Thomas"
350,"Bennett, Arnold"
351,"Long, George"
352,"Overton, William Hassell"
353,"Wren, Percival Christopher"
354,"Wilson, John Dover"
355,"Grant, Ulysses S. (Ulysses Simpson)"
356,"Darwin, Erasmus"
357,"Jacobus, de Cessolis, active 1288-1322"
358,"Hakluyt, Richard"
359,"Kitson, Harry Dexter"
360,"Gardiner, A. G. (Alfred George)"
361,"Rizal, José"
362,"Harris, Thaddeus Mason"
363,"Bury, J. B. (John Bagnell)"
364,"Frey, Hildegard G."
365,"Zola, Émile"
366,"Old Sleuth"
367,"Kossuth, Lajos"
368,"Ellenborough, Edward Law, Earl of"
369,"Bridge, Cyprian, Sir"
370,"Curwood, James Oliver"
371,"Hardy, Thomas"
372,"Belloc, Hilaire"
373,"Mommsen, Theodor"
374,"Dickson, William P. (William Purdie)"
375,"Campbell, Blendon"
376,"Shiel, M. P. (Matthew Phipps)"
377,"Hobson, J. A. (John Atkinson)"
378,"Melville, Herman"
379,"Bullitt, William C. (William Christian)"
380,"Saunders, T. Bailey (Thomas Bailey)"
381,"Abercrombie, Lascelles"
382,"Pindar"
383,"Ostrovsky, Aleksandr Nikolaevich"
384,"Stowe, Harriet Beecher"
385,"Alger, Horatio, Jr."
386,"Chaplin, Ralph"
387,"Newell, Jane H. (Jane Hancox)"
388,"Barrett, Frank"
389,"Walton, O. F., Mrs."
390,"Schopenhauer, Arthur"
391,"McCleary, J. T. (James Thompson)"
392,"Fox, John"
393,"Merrill, Rufus"
394,"Draycott, Gladys M."
395,"Allen, James"
396,"Spafford, Oliver"
397,"Falkner, John Meade"
398,"Phelps, Elizabeth Stuart"
399,"Sheard, Virna"
400,"Rostand, Edmond"
401,"Lomax, E. L. (Edward Lloyd)"
402,"Rushkoff, Douglas"
403,"Mason, A. E. W. (Alfred Edward Woodley)"
404,"Smith, John Stafford"
405,"Bramah, Ernest"
406,"Torrey, Bradford"
407,"Eliot, George"
408,"Adams, St. Clair"
409,"Brayman, James O."
410,"Philp, Robert Kemp"
411,"Barrie, J. M. (James Matthew)"
412,"Wilkes, Charles"
413,"Miller, John Maurice"
414,"Bingham, Hiram"
415,"Willson, Thomas E."
416,"Appleton, Victor"
417,"Le Feuvre, Amy"
418,"Scott, Walter"
419,"Altsheler, Joseph A. (Joseph Alexander)"
420,"Litchfield, Grace Denio"
421,"Sterne, Laurence"
422,"Eastman, Mary H. (Mary Henderson)"
423,"Home, Gordon"
424,"Bolles, John R. (John Rogers)"
425,"Wharton, Philip"
426,"Cobb, Irvin S. (Irvin Shrewsbury)"
427,"Richardson, Samuel"
428,"Swift, Jonathan"
429,"Burton, Robert"
430,"Coleridge, Samuel Taylor"
431,"Haywood, Eliza Fowler"
432,"Daggett, David"
433,"Dunsany, Lord"
434,"Consumers' League of New York City"
435,"University of Oxford. Faculty of Modern History"
436,"Gogol, Nikolai Vasilevich"
437,"Cozzens, Samuel Woodworth"
438,"Christian Brothers"
439,"Boyd, A. S. (Alexander Stuart)"
440,"Olmsted, Everett Ward"
441,"Richardson, James D. (James Daniel)"
442,"Crowquill, Alfred"
443,"Sinclair, May"
444,"Inglis, James"
445,"Bishop, Nathaniel H. (Nathaniel Holmes)"
446,"Thomson, Ninian Hill"
447,"Livy"
448,"Thwaites, William H."
449,"Wilder, Sampson Vryling Stoddard"
450,"Griggs, Edward Howard"
451,"Johnson, James"
452,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
453,"Favenc, Ernest"
454,"Kitson, Arthur"
455,"Yerkes, Robert Mearns"
456,"Wise, Thomas A. (Thomas Alfred)"
457,"Farrar, F. W. (Frederic William)"
458,"Vale, Ferna"
459,"Lamb, Charles"
460,"Webster, Angus Duncan"
461,"Teachers of the School Street Universalist Sunday School. Boston"
462,"Wallace, Alfred Russel"
463,"Griffiths, Charles John"
464,"Cox, James"
465,"Williams, Helen Maria"
466,"Beesly, A. H. (Augustus Henry)"
467,"Leighton, John"
468,"Dwyer, James Francis"
469,"Fellowes, W. D. (William Dorset)"
470,"Archer, William"
471,"Emmerich, Anna Katharina"
472,"Rolland, Romain"
473,"Camp, Wadsworth"
474,"Roth, Lewis"
475,"Burgess, Gelett"
476,"Staley, Edgcumbe"
477,"Riley, Harvey"
478,"Seton, Ernest Thompson"
479,"Benson, E. F. (Edward Frederic)"
480,"Cassius Dio Cocceianus"
481,"Smiles, Samuel"
482,"Whicher, George Frisbie"
483,"Young, Egerton Ryerson"
484,"Haggard, H. Rider (Henry Rider)"
485,"Davies, Ebenezer"
486,"Douglas, O."
487,"Millay, Edna St. Vincent"
488,"Donnell, Annie Hamilton"
489,"Jenness, Theodora R. (Theodora Robinson)"
490,"Standish, Burt L."
491,"Braddon, M. E. (Mary Elizabeth)"
492,"United States. War Department"
493,"Hawks, Francis L. (Francis Lister)"
494,"Hall, Mosiah"
495,"Green, Horace"
496,"Taylor, Bayard"
497,"Sunity Devee, Maharani of Cooch Behar"
498,"Ballantyne, R. M. (Robert Michael)"
499,"Palmer, Frederick"
500,"Lagerlöf, Selma"
501,"Burnham, Margaret"
502,"Power, P. (Patrick)"
503,"Reinach, Salomon"
504,"Dyce, Alexander"
505,"Jacob, P. L."
506,"White, Stewart Edward"
507,"Futrelle, Jacques"
508,"Aytoun, William Edmondstoune"
509,"Hill, Samuel Charles"
510,"Hale, Edward Everett"
511,"Sanday, W. (William)"
512,"Morley, John"
513,"Hughes, Rupert"
514,"Lincoln, Jeanie Gould"
515,"Glyn, Elinor"
516,"Frank, Tenney"
517,"Lambert Chambers, Mrs."
518,"Aitken, Edward Hamilton"
519,"Carrington, Charles"
520,"Kreisler, Fritz"
521,"Woodson, Carter Godwin"
522,"Furse, Katharine"
523,"Schiller, F. C. S. (Ferdinand Canning Scott)"
524,"Ward, John"
525,"De Windt, Harry"
526,"Burt, Katharine Newlin"
527,"Tarkington, Booth"
528,"McCarthy, Justin"
529,"Worster, W. J. Alexander (William John Alexander)"
530,"Wilderspin, Samuel"
531,"Chesnutt, Charles W. (Charles Waddell)"
532,"Moore, Frederick Ferdinand"
533,"Jones, Edgar R. (Edgar Rees), Sir"
534,"Leighton, Robert"
535,"Abbott, Jacob"
536,"Kidder, Daniel P. (Daniel Parish)"
537,"Osborne, David, Mrs. (Fanny)"
538,"Bourne, John, C.E."
539,"Banerjea, S. B."
540,"Carroll, Lewis"
541,"Wetterau, John Moncure"
542,"Burritt, Elihu"
543,"Ruhl, Arthur"
544,"Foster, William Z."
545,"Addison, Joseph"
546,"Aldrich, Mildred"
547,"Johnson, James Weldon"
548,"Smith, Elva Sophronia"
549,"Picton, J. Allanson (James Allanson)"
550,"Williamson, A. M. (Alice Muriel)"
551,"Morse, Samuel Finley Breese"
552,"Morse, Edward Lind"
553,"Davis, Richard Harding"
554,"Housman, Laurence"
555,"Foster, Frances Smith"
556,"Gruelle, Johnny"
557,"Millington, W. H."
558,"Brinton, Daniel G. (Daniel Garrison)"
559,"Stephen, Leslie"
560,"Leighton, Alexander"
561,"Trusta, H."
562,"Pfeiffer, Ida"
563,"Barbour, Ralph Henry"
564,"Cohen, Octavus Roy"
565,"Fénelon, François de Salignac de La Mothe-"
566,"Machen, Arthur"
567,"Cyr, Ellen M."
568,"Wharton, Edith"
569,"Harper, Frances Ellen Watkins"
570,"Cheever, Harriet A. (Harriet Anna)"
571,"Henty, G. A. (George Alfred)"
572,"Allston, Washington"
573,"Allinson, A. R. (Alfred Richard)"
574,"Porterfield, Allen Wilson"
575,"Mill, Mrs. (Jean Oliver)"
576,"Hazlitt, William"
577,"Tooker, Harriet H."
578,"Doctorow, Cory"
579,"Quigley, Dorothy"
580,"Nevinson, Henry Woodd"
581,"Ainsworth, William Harrison"
582,"Stuart, Ruth McEnery"
583,"Whyte-Melville, G. J. (George John)"
584,"Souttar, Henry Sessions"
585,"Ainger, Alfred"
586,"Hartness, James"
587,"Stoddard, John L. (John Lawson)"
588,"Bonte, Willard"
589,"Ramakrishna Pillai, T. (Thottakadu)"
590,"Fenn, George Manville"
591,"Corner, Miss (Julia)"
592,"Stratton-Porter, Gene"
593,"Falckenberg, Richard"
594,"Johnson, Edward A. (Edward Austin)"
595,"Woodworth, Francis C. (Francis Channing)"
596,"Malan, César"
597,"Marchant, Bessie"
598,"Cairns, John"
599,"Knevels, Gertrude"
600,"Schoolcraft, Henry Rowe"
601,"Tuthill, Cornelia L. (Cornelia Louisa)"
602,"Edgeworth, Maria"
603,"Martin, Benj. N. (Benjamin Nicholas)"
604,"Francke, Kuno"
605,"Terry, Jean F. (Jean Finlay)"
606,"Rinehart, Mary Roberts"
607,"Rousseau, Jean-Jacques"
608,"Steward, Austin"
609,"Nye, Bill"
610,"Whitney, A. D. T. (Adeline Dutton Train)"
611,"Tarrant, W. G. (William George)"
612,"Porter, Eleanor H. (Eleanor Hodgman)"
613,"Langford, Nathaniel Pitt"
614,"Houghton, Eliza Poor Donner"
615,"Livermore, Edward"
616,"Ellis, Edward Sylvester"
617,"Hornung, E. W. (Ernest William)"
618,"Gibbs, J. Arthur (Joseph Arthur)"
619,"Webster, Henry Kitchell"
620,"Bannerman, Helen"
621,"Macaulay, Rose"
622,"Maggard, James H."
623,"Chalmers, Margaret Piper"
624,"Sheldon, Lurana"
625,"Kincaid, C. A. (Charles Augustus)"
626,"O'Clery, Michael"
627,"Drinkwater, John"
628,"Baldwin, James"
629,"Betham, Matilda"
630,"Cooke, Marjorie Benton"
631,"Becker, Carl Heinrich"
632,"McGowan, Richard"
633,"Bénézet, Louis Paul"
634,"King, Philip Parker"
635,"Reeks, H. Caulton (Harry Caulton)"
636,"Lauder, Harry, Sir"
637,"Curtis, William Eleroy"
638,"Kelly, Sophia"
639,"Gent, Thomas"
640,"Price, Edith Ballinger"
641,"Fisher, Dorothy Canfield"
642,"Sinclair, Bertrand W."
643,"Poston, Charles D. (Charles Debrille)"
644,"Williams, George Alfred"
645,"Bairnsfather, Bruce"
646,"Pinchot, Gifford"
647,"Defoe, Daniel"
648,"Johnston, William"
649,"Hardley, Robert"
650,"Swedenborg, Emanuel"
651,"Cody, Sherwin"
652,"Sylvester, Charles Herbert"
653,"Johnson, R. Brimley (Reginald Brimley)"
654,"Morrison, Arthur"
655,"Doddridge, Philip"
656,"Parnell, Thomas"
657,"United States. Work Projects Administration"
658,"Fowler, W. Warde (William Warde)"
659,"Dowd, Emma C."
660,"Gregory, William Robert"
661,"Vaknin, Samuel"
662,"Rangelovska, Lidija"
663,"Jung, Nizamat, Sir"
664,"Sheldon, Georgie, Mrs."
665,"Zakrzewska, Marie E. (Marie Elizabeth)"
666,"American Anti-Slavery Society"
667,"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir"
668,"Balzac, Honoré de"
669,"Ade, George"
670,"Holmes, Mary Jane"
671,"Geldart, Thomas, Mrs."
672,"Buffa, John"
673,"Barker, Edward Harrison"
674,"Greiffenhagen, Maurice"
675,"Moore, George Augustus"
676,"Gibson, Charles Dana"
677,"Mitra, Siddha Mohana"
678,"McMaster, John Bach"
679,"Gatty, Alfred, Mrs."
680,"Benson, Stella"
681,"Miller, Alice Duer"
682,"Mair, G. H. (George Herbert)"
683,"Murray, Henry A. (Henry Anthony)"
684,"Colman, Mrs. (Pamela Chandler)"
685,"Wilson, John Mackay"
686,"Lorentz, H. A. (Hendrik Antoon)"
687,"Vernon Jones, V. S. (Vernon Stanley)"
688,"Krishnamurti, J. (Jiddu)"
689,"Cable, Boyd"
690,"Lincoln, Joseph Crosby"
691,"Bernhardi, Friedrich von"
692,"McPherson, J. H. T. (John Hanson Thomas)"
693,"Anderton, Thomas"
694,"Cole, Herbert"
695,"Tilton, George Henry"
696,"Eberhard, Wolfram"
697,"Doubleday, Russell"
698,"Gaskell, Elizabeth Cleghorn"
699,"Oppenheim, James"
700,"Moffett, Cleveland"
701,"Roe, E. T."
702,"Besant, Annie"
703,"Banks, Nancy Huston"
704,"Dana, Richard Henry"
705,"Minor, R. D."
706,"Powell, E. Alexander (Edward Alexander)"
707,"Ferber, Edna"
708,"Yarrow, H. C. (Harry Crécy)"
709,"Biddulph, J. (John)"
710,"O'Brien, Frederick"
711,"Marshall, Edison"
712,"Woodhouse, Frederic W."
713,"Holmes, Edric"
714,"Williams, Albert Rhys"
715,"Pye, Charles"
716,"Mason, Eugene"
717,"Lynde, Francis"
718,"Burr, Agnes Rush"
719,"Henry, Alice"
720,"Church, Ella Rodman"
721,"Brewer, Ebenezer Cobham"
722,"Gould, Hannah Flagg"
723,"Webster, Albert"
724,"Adams, M. H. (Mary Hall)"
725,"Mower, Sarah S."
726,"Xavier, M."
727,"Collins, W. Lucas (William Lucas)"
728,"Carey, William"
729,"Griffiths, Arthur"
730,"Sturge, Joseph"
731,"Fielding, Henry"
732,"Collins, F. B."
733,"Robinson, Albert G. (Albert Gardner)"
734,"Booth-Tucker, Frederick St. George De Lautour"
735,"Ralphson, G. Harvey (George Harvey)"
736,"Collingwood, Stuart Dodgson"
737,"Benezet, Anthony"
738,"Phillips, Ulrich Bonnell"
739,"Bain, F. W. (Francis William)"
740,"United States. Bureau of the Census"
741,"Elton, Oliver"
742,"Beach, Rex"
743,"Bacheller, Irving"
744,"Leacock, Stephen"
745,"Chesterton, G. K. (Gilbert Keith)"
746,"Watson, Henry C. (Henry Clay)"
747,"Potter, Elizabeth Gray"
748,"Thompson, William"
749,"Hole, William"
750,"Shumway, Daniel Bussier"
751,"Wood, Andrew Y."
752,"Steele, Wilbur Daniel"
753,"Bridges, T. C. (Thomas Charles)"
754,"King, Grace Elizabeth"
755,"Graves, J. A. (Jackson Alpheus)"
756,"Morris, William"
757,"Oliver, Stephen"
758,"Fuller, Margaret"
759,"Pardoe, Miss (Julia)"
760,"Allen, James Lane"
761,"Theocritus"
762,"Wilson, Harry Leon"
763,"Priest, William"
764,"Stillman, William James"
765,"Prentiss, George Lewis"
766,"Tarbell, Ida M. (Ida Minerva)"
767,"Squires, Richard C."
768,"Whittle, D. W. (Daniel Webster)"
769,"Coulton, Miss"
770,"Goodrich, Samuel G. (Samuel Griswold)"
771,"Lewis, Sinclair"
772,"Wright, Mabel Osgood"
773,"Galton, Francis"
774,"Bloomfield, Nathaniel"
775,"Sinclair, Upton"
776,"McCutcheon, George Barr"
777,"Graves, Charles L. (Charles Larcom)"
778,"Bennett, John"
779,"Scott, Robert Falcon"
780,"Jackson, George"
781,"Lowndes, Marie Belloc"
782,"Sedgwick, Susan Anne Livingston Ridley"
783,"Pack, Charles Lathrop"
784,"Rohmer, Sax"
785,"Piper, Watty, pseud."
786,"Hough, Emerson"
787,"Hanna, Abigail Stanley"
788,"Gissing, George"
789,"Bell, Lilian"
790,"Phillips, David Graham"
791,"Brown, Goold"
792,"Beers, Henry A. (Henry Augustin)"
793,"Franklin, Miles"
794,"Benson, Robert Hugh"
795,"Gosse, Edmund"
796,"Webster, Thomas"
797,"Huckel, Oliver"
798,"Wallas, Graham"
799,"Papé, Frank Cheyne"
800,"Trollope, Anthony"
801,"Rittenhouse, Jessie Belle"
802,"Comfort, Will Levington"
803,"Park, Julian"
804,"Smith, Mabell S. C. (Mabell Shippie Clarke)"
805,"Peabody, Josephine Preston"
806,"Russell, George William Erskine"
807,"Hecker, Eugene A. (Eugene Arthur)"
808,"Blasco Ibáñez, Vicente"
809,"Schurman, Jacob Gould"
810,"Burke, Kathleen"
811,"Duncan, Sara Jeannette"
812,"Cooke, George Willis"
813,"Gibbs, Philip"
814,"Lillibridge, Will"
815,"Sienkiewicz, Henryk"
816,"Dakyns, Henry Graham"
817,"Goodloe, Abbe Carter"
818,"Murray, James Augustus Henry, Sir"
819,"Jordan, Charlotte Brewster"
820,"Kent, Charles Foster"
821,"Ford, Henry Jones"
822,"Wyss, Johann David"
823,"Xenophon"
824,"Hall, Tom"
825,"Wright, Harold Bell"
826,"Forbes, Nevill"
827,"Robins, Edward"
828,"Williams, Blanche Colton"
829,"Monteith, James"
830,"Ferrall, S. A. (Simon Ansley)"
831,"Lincoln, Abraham"
832,"Hutchins, Cortelle"
833,"Kelly, Maire Monica"
834,"Dandin, active 7th century"
835,"Wann, Harry Vincent"
836,"Gregory, Lady"
837,"Fagg, John Gerardus"
838,"Bianco, Margery Williams"
839,"Darling, Esther Birdsall"
840,"Bangs, John Kendrick"
841,"Church, R. W. (Richard William)"
842,"Savigny, Jean Baptiste Henri"
843,"Withers, Hartley"
844,"Kapor, Mitchell"
845,"Library of Congress. Copyright Office"
846,"Draper, John William"
847,"Haworth, Paul Leland"
848,"Meynell, Alice"
849,"Sewell, Anna"
850,"Whipple, Wayne"
851,"Disraeli, Benjamin, Earl of Beaconsfield"
852,"Swinburne, T. R."
