91805,Itu,"{""type"":""Point"",""coordinates"":[7.98475,5.2004]}"
91943,Calabar,"{""type"":""Point"",""coordinates"":[8.322,4.9517]}"
95191,Wright,"{""type"":""Point"",""coordinates"":[125.02194,11.77028]}"
96959,Mexico,"{""type"":""Point"",""coordinates"":[120.7198,15.0646]}"
115659,Long,"{""type"":""Point"",""coordinates"":[99.83073,18.07422]}"
116712,Mary,"{""type"":""Point"",""coordinates"":[61.83031,37.59378]}"
121050,Dundee,"{""type"":""Point"",""coordinates"":[-81.61924,28.02252]}"
121609,Wright,"{""type"":""Point"",""coordinates"":[-86.63829,30.45575]}"
122468,Mission,"{""type"":""Point"",""coordinates"":[-94.65579,39.02778]}"
123411,Anderson,"{""type"":""Point"",""coordinates"":[-94.44355,36.65063]}"
123620,Mexico,"{""type"":""Point"",""coordinates"":[-91.88295,39.16976]}"
125187,Scotland,"{""type"":""Point"",""coordinates"":[-77.58721,39.9687]}"
125227,Anderson,"{""type"":""Point"",""coordinates"":[-82.65013,34.50344]}"
125779,Anderson,"{""type"":""Point"",""coordinates"":[-95.9869,30.48715]}"
125970,Early,"{""type"":""Point"",""coordinates"":[-98.94561,31.7421]}"
126275,Mission,"{""type"":""Point"",""coordinates"":[-98.32529,26.21591]}"
126479,Shepherd,"{""type"":""Point"",""coordinates"":[-94.9966,30.49798]}"
127920,Morrison,"{""type"":""Point"",""coordinates"":[-89.96512,41.80975]}"
128121,Anderson,"{""type"":""Point"",""coordinates"":[-85.68025,40.10532]}"
128807,Mexico,"{""type"":""Point"",""coordinates"":[-70.54534,44.5609]}"
128829,Old Town,"{""type"":""Point"",""coordinates"":[-68.64531,44.93423]}"
129025,Dundee,"{""type"":""Point"",""coordinates"":[-83.65966,41.95727]}"
129280,Shepherd,"{""type"":""Point"",""coordinates"":[-84.69473,43.52447]}"
129969,Hill,"{""type"":""Point"",""coordinates"":[-71.70091,43.52424]}"
130614,Dundee,"{""type"":""Point"",""coordinates"":[-76.97663,42.5234]}"
130885,Mexico,"{""type"":""Point"",""coordinates"":[-76.22882,43.45951]}"
133350,August,"{""type"":""Point"",""coordinates"":[-121.26217,37.97881]}"
134869,Anderson,"{""type"":""Point"",""coordinates"":[-122.29778,40.44821]}"
135286,Dundee,"{""type"":""Point"",""coordinates"":[-123.01094,45.27817]}"
135350,Mission,"{""type"":""Point"",""coordinates"":[-118.68359,45.67041]}"
135461,Mission,"{""type"":""Point"",""coordinates"":[-100.65819,43.30584]}"
136002,Wright,"{""type"":""Point"",""coordinates"":[-105.47055,43.74692]}"
138167,Dundee,"{""type"":""Point"",""coordinates"":[30.23371,-28.16678]}"
